Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,errCode,dataGood_0,dataGood_1,dataGood_2,dataGood_3,altitudeBeam_0,altitudeBeam_1,altitudeBeam_2,altitudeBeam_3,bottomVelocityBeam_0,bottomVelocityBeam_1,bottomVelocityBeam_2,bottomVelocityBeam_3,waterVelocityBeam_0,waterVelocityBeam_1,waterVelocityBeam_2,waterVelocityBeam_3,waterVelocityCredit_0,waterVelocityCredit_1,waterVelocityCredit_2,waterVelocityCredit_3,velocityInst_0,velocityInst_1,velocityInst_2,velocityInstFlag,velocityEarth_0,velocityEarth_1,velocityEarth_2,velocityEarthFlag,waterVelocityInst_0,waterVelocityInst_1,waterVelocityInst_2,waterVelocityInstFlag,waterVelocityEarth_0,waterVelocityEarth_1,waterVelocityEarth_2,waterVelocityEarthFlag,roll,pitch,heading,altitude,temperature,pressure,salinity,soundSpeed,rawData
1372687215.662462,1265,1372687215,668467149,dvl_linkquest,0X0000,1,1,1,1,2.4,2.2,1.9,2.3,-0.0653,-0.0067,0.04820000000000001,0.007200000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1515,-0.018600000000000002,-0.0045000000000000005,1,-0.1515,-0.018600000000000002,-0.0045000000000000005,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.9,15.0,2853823.582,0.0,1500.0,"%$#NQ.RES 0X0000 1 1 1 1 2.4 2.2 1.9 2.3 -65.3 -6.7 48.2 7.2 0 0 0 0 0 0 0 0 -151.5 -18.6 -4.5 1 -151.5 -18.6 -4.5 1 0 0 0 0 0 0 0 0 0 0 0 1.9 15.0 2853823.582 0 1500 81
"
1372687216.011965,1266,1372687216,20448633,dvl_linkquest,0X0000,1,1,1,1,2.4,2.2,2.0,2.3,-0.0458,-0.0329,0.19530000000000003,0.0291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.32180000000000003,-0.08270000000000001,0.039299999999999995,1,-0.32180000000000003,-0.08270000000000001,0.039299999999999995,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.0,15.0,2853823.582,0.0,1500.0,"%$#NQ.RES 0X0000 1 1 1 1 2.4 2.2 2.0 2.3 -45.8 -32.9 195.3 29.1 0 0 0 0 0 0 0 0 -321.8 -82.7 39.3 1 -321.8 -82.7 39.3 1 0 0 0 0 0 0 0 0 0 0 0 2.0 15.0 2853823.582 0 1500 110
"
1372687216.341442,1267,1372687216,343453734,dvl_linkquest,0X0000,1,1,1,1,2.4,2.2,1.9,2.2,-0.09820000000000001,-0.0008,-0.042100000000000005,0.020100000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.9,15.0,2853823.582,0.0,1500.0,"%$#NQ.RES 0X0000 1 1 1 1 2.4 2.2 1.9 2.2 -98.2 -0.8 -42.1 20.1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.9 15.0 2853823.582 0 1500 72
"
1372687216.6845121,1268,1372687216,692371964,dvl_linkquest,0X0000,1,1,1,1,2.4,2.3,2.3,2.3,-0.026600000000000002,-0.0332,0.5646,0.0178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.789,-0.0681,0.1409,1,-0.789,-0.0681,0.1409,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.3,15.0,2853823.582,0.0,1500.0,"%$#NQ.RES 0X0000 1 1 1 1 2.4 2.3 2.3 2.3 -26.6 -33.2 564.6 17.8 0 0 0 0 0 0 0 0 -789.0 -68.1 140.9 1 -789.0 -68.1 140.9 1 0 0 0 0 0 0 0 0 0 0 0 2.3 15.0 2853823.582 0 1500 101
"
1372687217.0142996,1269,1372687217,21397108,dvl_linkquest,0X0000,1,1,1,1,2.4,2.3,2.3,2.3,-0.040600000000000004,-0.0512,0.0508,0.0371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.3,15.0,2853823.582,0.0,1500.0,"%$#NQ.RES 0X0000 1 1 1 1 2.4 2.3 2.3 2.3 -40.6 -51.2 50.8 37.1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.3 15.0 2853823.582 0 1500 86
"
1372687217.3679059,1270,1372687217,371276591,dvl_linkquest,0X0000,1,1,1,1,2.4,2.3,2.3,2.3,-0.0485,-0.0115,0.045200000000000004,0.014199999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1251,-0.0343,-0.0002,1,-0.1251,-0.0343,-0.0002,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.3,15.0,2853823.582,0.0,1500.0,"%$#NQ.RES 0X0000 1 1 1 1 2.4 2.3 2.3 2.3 -48.5 -11.5 45.2 14.2 0 0 0 0 0 0 0 0 -125.1 -34.3 -0.2 1 -125.1 -34.3 -0.2 1 0 0 0 0 0 0 0 0 0 0 0 2.3 15.0 2853823.582 0 1500 82
"
1372687217.7193172,1271,1372687217,719261365,dvl_linkquest,0X0000,1,1,1,1,2.4,2.3,2.3,2.3,-0.0492,-0.0178,0.06490000000000001,0.0134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15230000000000002,-0.041600000000000005,0.003,1,-0.15230000000000002,-0.041600000000000005,0.003,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.3,15.0,2853823.582,0.0,1500.0,"%$#NQ.RES 0X0000 1 1 1 1 2.4 2.3 2.3 2.3 -49.2 -17.8 64.9 13.4 0 0 0 0 0 0 0 0 -152.3 -41.6 3.0 1 -152.3 -41.6 3.0 1 0 0 0 0 0 0 0 0 0 0 0 2.3 15.0 2853823.582 0 1500 86
"
1372687218.068068,1272,1372687218,68718176,dvl_linkquest,0X0000,1,1,1,1,2.4,2.3,2.4,2.3,-0.0298,-0.0015,0.0524,0.0247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1097,-0.035,0.0123,1,-0.1097,-0.035,0.0123,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.3,15.0,2853823.582,0.0,1500.0,"%$#NQ.RES 0X0000 1 1 1 1 2.4 2.3 2.4 2.3 -29.8 -1.5 52.4 24.7 0 0 0 0 0 0 0 0 -109.7 -35.0 12.3 1 -109.7 -35.0 12.3 1 0 0 0 0 0 0 0 0 0 0 0 2.3 15.0 2853823.582 0 1500 104
"
1372687218.4163547,1273,1372687218,422023842,dvl_linkquest,0X0000,1,1,1,1,2.4,2.3,2.4,2.3,-0.030100000000000002,-0.0126,0.07629999999999999,0.15680000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.14200000000000002,-0.2261,0.0513,1,-0.14200000000000002,-0.2261,0.0513,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.3,15.0,2853823.582,0.0,1500.0,"%$#NQ.RES 0X0000 1 1 1 1 2.4 2.3 2.4 2.3 -30.1 -12.6 76.3 156.8 0 0 0 0 0 0 0 0 -142.0 -226.1 51.3 1 -142.0 -226.1 51.3 1 0 0 0 0 0 0 0 0 0 0 0 2.3 15.0 2853823.582 0 1500 98
"
1372687218.757823,1274,1372687218,763151237,dvl_linkquest,0X0000,1,1,1,1,2.4,2.3,2.4,2.3,-0.0286,-0.0045000000000000005,0.0429,0.0262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09540000000000001,-0.041,0.0097,1,-0.09540000000000001,-0.041,0.0097,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.3,15.0,2853823.582,0.0,1500.0,"%$#NQ.RES 0X0000 1 1 1 1 2.4 2.3 2.4 2.3 -28.6 -4.5 42.9 26.2 0 0 0 0 0 0 0 0 -95.4 -41.0 9.7 1 -95.4 -41.0 9.7 1 0 0 0 0 0 0 0 0 0 0 0 2.3 15.0 2853823.582 0 1500 105
"
